height,distance,n,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_3rd_correlation,keo_3rd_correlation
0.2,2500,8,0.7138001083474533,0.7374638279400195,1.3599259853363037,70,0.7374638279400195,0.6901363887548871
0.2,2600,8,0.715582128151208,0.731709533965075,1.272263526916504,70,0.731709533965075,0.699454722337341
0.2,2700,8,0.7095704380590486,0.7229822279985971,1.4524500370025635,70,0.7229822279985971,0.6961586481195001
0.2,2800,8,0.7020858152049918,0.7381418428593731,1.2780284881591797,70,0.7381418428593731,0.6660297875506104
0.2,2900,8,0.677916750043741,0.7028407711964377,1.2982981204986572,70,0.7028407711964377,0.6529927288910442
0.2,3000,8,0.6520127386332271,0.6920214892267637,1.3172082901000977,70,0.6920214892267637,0.6120039880396904
0.2,3100,8,0.6337310904651441,0.6741070911064474,1.3108360767364502,70,0.6741070911064474,0.5933550898238409
0.2,2000,9,0.619581767439247,0.6615567595315749,1.310788869857788,70,0.6615567595315749,0.5776067753469191
0.2,2100,9,0.6552983382064583,0.6892174911236679,1.286414384841919,70,0.6892174911236679,0.6213791852892487
0.2,2200,9,0.6734415339391739,0.6890780358190302,1.4470751285552979,70,0.6890780358190302,0.6578050320593178
0.2,2300,9,0.6997036890820715,0.7153033900642902,1.2636439800262451,70,0.7153033900642902,0.6841039880998527
0.2,2400,9,0.7213552505831463,0.7417098448925027,1.2623474597930908,70,0.7417098448925027,0.7010006562737899
0.2,2500,9,0.7255384670078744,0.7560276436502849,1.3318474292755127,70,0.7560276436502849,0.695049290365464
0.2,2600,9,0.7288875158836656,0.7513330116986233,1.3153271675109863,70,0.7513330116986233,0.706442020068708
0.2,2700,9,0.7225363584076128,0.7432418703627748,1.2790837287902832,70,0.7432418703627748,0.7018308464524508
0.2,2800,9,0.7149894190831803,0.7600627271776286,1.2546534538269043,70,0.7600627271776286,0.669916110988732
0.2,2900,9,0.6918238340758452,0.7265902124545978,1.2698237895965576,70,0.7265902124545978,0.6570574556970927
0.2,3000,9,0.6651446960383438,0.7128118270849887,1.269299030303955,70,0.7128118270849887,0.6174775649916989
0.2,3100,9,0.6490061050109118,0.6996914559085236,1.2935631275177002,70,0.6996914559085236,0.5983207541133001
